"token","lemma","brand","doc_type"
"sammie","sammie","bj","name"
"milk","milk","bj","name"
"cookies","cookies","bj","name"
"mint","mint","bj","name"
"minter","minter","bj","name"
"wonderland","wonderland","bj","name"
"new","new","bj","name"
"york","york","bj","name"
"super","super","bj","name"
"chunk","chunk","bj","name"
"oat","oat","bj","name"
"this","this","bj","name"
"swirled","swirled","bj","name"
"cup","cup","bj","name"
"world","world","bj","name"
"phish","phish","bj","name"
"food","food","bj","name"
"pistachio","pistachio","bj","name"
"pumpkin","pumpkin","bj","name"
"red","red","bj","name"
"white","white","bj","name"
"blueberry","blueberry","bj","name"
"salted","salted","bj","name"
"almond","almond","bj","name"
"strawberry","strawberry","bj","name"
"tonight","tonight","bj","name"
"triple","triple","bj","name"
"urban","urban","bj","name"
"vanilla","vanilla","bj","name"
"boom","boom","bj","name"
"chocolatta","chocolatta","bj","name"
"like","like","bj","name"
"sugar","sugar","bj","name"
"wake","wake","bj","name"
"bake","bake","bj","name"
"batter","batter","bj","name"
"karamel","karamel","bj","name"
"sutra","sutra","bj","name"
"cream","cream","bj","ingredients"
"skim","skim","bj","ingredients"
"milk","milk","bj","ingredients"
"liquid","liquid","bj","ingredients"
"sugar","sugar","bj","ingredients"
"water","water","bj","ingredients"
"brown","brown","bj","ingredients"
"wheat","wheat","bj","ingredients"
"flour","flour","bj","ingredients"
"egg","egg","bj","ingredients"
"yolks","yolks","bj","ingredients"
"corn","corn","bj","ingredients"
"syrup","syrup","bj","ingredients"
"eggs","eggs","bj","ingredients"
"butter","butter","bj","ingredients"
"salt","salt","bj","ingredients"
"butteroil","butteroil","bj","ingredients"
"pectin","pectin","bj","ingredients"
"sea","sea","bj","ingredients"
"soybean","soybean","bj","ingredients"
"oil","oil","bj","ingredients"
"vanilla","vanilla","bj","ingredients"
"extract","extract","bj","ingredients"
"guar","guar","bj","ingredients"
"gum","gum","bj","ingredients"
"soy","soy","bj","ingredients"
"lecithin","lecithin","bj","ingredients"
"baking","baking","bj","ingredients"
"powder","powder","bj","ingredients"
"sodium","sodium","bj","ingredients"
"acid","acid","bj","ingredients"
"pyrophosphate","pyrophosphate","bj","ingredients"
"bicarbonate","bicarbonate","bj","ingredients"
"starch","starch","bj","ingredients"
"monocalcium","monocalcium","bj","ingredients"
"phosphate","phosphate","bj","ingredients"
"soda","soda","bj","ingredients"
"carrageenan","carrageenan","bj","ingredients"
"lactase","lactase","bj","ingredients"
"peanuts","peanuts","bj","ingredients"
"canola","canola","bj","ingredients"
"peanut","peanut","bj","ingredients"
"cocoa","cocoa","bj","ingredients"
"invert","invert","bj","ingredients"
"cane","cane","bj","ingredients"
"fat","fat","bj","ingredients"
"whites","whites","bj","ingredients"
"tapioca","tapioca","bj","ingredients"
"barley","barley","bj","ingredients"
"malt","malt","bj","ingredients"
"malted","malt","bj","ingredients"
"processed","processed","bj","ingredients"
"with","with","bj","ingredients"
"alkali","alkali","bj","ingredients"
"potato","potato","bj","ingredients"
"coconut","coconut","bj","ingredients"
"solids","solids","bj","ingredients"
"rice","rice","bj","ingredients"
"sunflower","sunflower","bj","ingredients"
"yeast","yeast","bj","ingredients"
"natural","natural","bj","ingredients"
"flavor","flavor","bj","ingredients"
"milkfat","milkfat","bj","ingredients"
"enzymes","enzymes","bj","ingredients"
"contains","contains","bj","ingredients"
"and","and","bj","ingredients"
"dried","dried","bj","ingredients"
"flavors","flavors","bj","ingredients"
"locust","locust","bj","ingredients"
"bean","bean","bj","ingredients"
"citric","citric","bj","ingredients"
"seeds","seeds","bj","ingredients"
"lactic","lactic","bj","ingredients"
"graham","graham","bj","ingredients"
"molasses","molasses","bj","ingredients"
"honey","honey","bj","ingredients"
"caramelized","caramelized","bj","ingredients"
"chocolate","chocolate","bj","ingredients"
"liquor","liquor","bj","ingredients"
"malted","malted","bj","ingredients"
"roasted","roasted","bj","ingredients"
"almonds","almonds","bj","ingredients"
"blackberry","blackberry","bj","ingredients"
"juice","juice","bj","ingredients"
"concentrate","concentrate","bj","ingredients"
"banana","banana","bj","ingredients"
"puree","puree","bj","ingredients"
"nonfat","nonfat","bj","ingredients"
"lemon","lemon","bj","ingredients"
"spices","spices","bj","ingredients"
"cinnamon","cinnamon","bj","ingredients"
"pecans","pecans","bj","ingredients"
"whiskey","whiskey","bj","ingredients"
"dry","dry","bj","ingredients"
"caramel","caramel","bj","ingredients"
"color","color","bj","ingredients"
"may","may","bj","ingredients"
"contain","contain","bj","ingredients"
"other","other","bj","ingredients"
"tree","tree","bj","ingredients"
"nuts","nuts","bj","ingredients"
"coffee","coffee","bj","ingredients"
"cheese","cheese","bj","ingredients"
"pasteurized","pasteurized","bj","ingredients"
"cultures","cultures","bj","ingredients"
